bearing,rmse,mae
Bearing1_1,0.15562459835513884,0.12072039395570755
Bearing1_2,0.34822307412267245,0.24110940098762512
Bearing2_1,0.1646211909311108,0.11807770282030106
Bearing2_2,0.14862991084551067,0.10276184976100922
Bearing3_1,0.1639468148494196,0.06859291344881058
Bearing3_2,0.28918764910622985,0.2000589668750763
Bearing1_3,0.1151724665234179,0.0919097289443016
Bearing1_4,0.12943534207490826,0.09453201293945312
Bearing1_5,0.2111059681697475,0.157301127910614
Bearing1_6,0.19570864557333778,0.14435304701328278
Bearing1_7,0.1573769046075085,0.11692523211240768
Bearing2_3,0.3832376221538558,0.3031037449836731
Bearing2_4,0.2163578950312457,0.09408361464738846
Bearing2_5,0.279667428431271,0.22466537356376648
Bearing2_6,0.4195966303794628,0.30586615204811096
Bearing2_7,0.28794389229351347,0.1502196490764618
Bearing3_3,0.13712507902454335,0.03988799452781677
